info,model,exec,algo,split,seed,n,mean_bps,sr,t_nw,hit,long_frac,psr0
causal,87,next,grpo,14,7,509,-3.1969961027972498,-0.0574945878686884,-1.2722113168500093,0.444007858546169,0.7917485265225933,0.0999205364649518
causal,87,bracket,grpo,14,7,509,-3.1692709656751634,-0.07151904688601136,-1.6531395452978375,0.37721021611001965,0.7917485265225933,0.06060571704666108
causal,88,engine,grpo,14,13,662,0.6743040916440566,0.01791291508871372,0.4732681515212345,0.4471299093655589,0.5105740181268882,0.6782344413276179
causal,88,next,grpo,14,13,662,-4.403027673832317,-0.07957672342546675,-2.1404480009429743,0.4471299093655589,0.5105740181268882,0.02082194542365256
causal,88,bracket,grpo,14,13,662,-3.8804764301198214,-0.08977411722116846,-2.2713624538650055,0.36555891238670696,0.5105740181268882,0.014071052047929019
causal,89,engine,grpo,14,29,440,1.6727618106635849,0.044095131045118786,0.9917269577437091,0.44545454545454544,0.9863636363636363,0.8252921486703392
causal,89,next,grpo,14,29,440,-2.2193505013662898,-0.038865011926804895,-0.8575059976269606,0.4431818181818182,0.9863636363636363,0.20830980678072036
causal,89,bracket,grpo,14,29,440,-4.124981143953126,-0.10203691887047131,-2.1374780601479455,0.36363636363636365,0.9863636363636363,0.020171413373114837
causal,90,engine,ppo,15,7,623,2.831064343025973,0.073178864778179,1.7102870559757926,0.47191011235955055,0.3258426966292135,0.9683202693277161
causal,90,next,ppo,15,7,623,-2.321339977271824,-0.040487286521911324,-0.9570325029636731,0.47191011235955055,0.3258426966292135,0.15668203168621803
causal,90,bracket,ppo,15,7,623,-1.2003297183475725,-0.02801499127315875,-0.6539840009260851,0.4028892455858748,0.3258426966292135,0.2437943850546116
causal,91,engine,ppo,15,13,611,1.6567340182535155,0.04287555464655733,1.0618769502596397,0.44844517184942717,0.9738134206219312,0.8583024560982062
causal,91,next,ppo,15,13,611,-3.4271681342912133,-0.060898167033189225,-1.5429049659229321,0.44353518821603927,0.9738134206219312,0.06750820463010196
causal,91,bracket,ppo,15,13,611,-3.0341973876135198,-0.07155156638982486,-1.7133547797887485,0.37643207855973815,0.9738134206219312,0.04370766271146947
causal,92,engine,ppo,15,29,324,3.1547801174364003,0.08798251122393332,1.522576239706101,0.49074074074074076,0.8580246913580247,0.946592498057539
causal,92,next,ppo,15,29,323,0.0704724684623034,0.0013323191809945247,0.023603368157174905,0.4953560371517028,0.8580246913580247,0.5095373478354592
causal,92,bracket,ppo,15,29,324,-3.129105216962393,-0.08032385684027718,-1.2808556724470244,0.39197530864197533,0.8580246913580247,0.08017359604744051
causal,93,engine,grpo,15,7,665,0.17716956987601093,0.004588159219567907,0.11693330400941201,0.43157894736842106,0.9699248120300752,0.547123333765228
causal,93,next,grpo,15,7,665,-3.436662981954579,-0.061131626989151484,-1.6068525731754268,0.43007518796992483,0.9699248120300752,0.060134062601217474
causal,93,bracket,grpo,15,7,665,-5.174018829433796,-0.12475225057735315,-3.1105394654395426,0.3548872180451128,0.9699248120300752,0.0011764226918828157
causal,94,engine,grpo,15,13,661,3.7435819668262913,0.09703876512372253,2.5265004307656556,0.48714069591527986,0.3237518910741301,0.9946291536965237
causal,94,next,grpo,15,13,661,1.4077833034189309,0.024997250511194988,0.6434117742621231,0.4886535552193646,0.3237518910741301,0.7404613168886894
causal,94,bracket,grpo,15,13,661,0.7301981911004968,0.01658236102804254,0.43291006477509064,0.4130105900151286,0.3237518910741301,0.6655612129696884
causal,95,engine,grpo,15,29,587,0.4009196824478573,0.010360963276342845,0.2602757652734572,0.43270868824531517,0.9812606473594548,0.5993155533194017
causal,95,next,grpo,15,29,587,-3.28693850388624,-0.05981431415025117,-1.4978383642622979,0.43611584327086883,0.9812606473594548,0.0760240962569549
causal,95,bracket,grpo,15,29,587,-4.346505650553132,-0.10159506745245074,-2.3579760849291027,0.3594548551959114,0.9812606473594548,0.009576723150922326
causal,96,engine,ppo,16,7,555,2.801557991795285,0.07505631063691823,1.9379537929329969,0.4648648648648649,0.3675675675675676,0.9638433456266376
causal,96,next,ppo,16,7,555,0.37401916088626475,0.006696074483179477,0.16074224874588605,0.46846846846846846,0.3675675675675676,0.5626571569052926
causal,96,bracket,ppo,16,7,555,-0.4058307930459114,-0.009854732795074915,-0.24732443507852087,0.4018018018018018,0.3675675675675676,0.4085746303679962
