H,rule,split,cost_bp,start,days,ann_ret,ann_vol,sharpe,t_nw,alpha_ann,alpha_t,beta,psr0,long_frac,turnover_ann,ic,ic_t,ic_months,coin_sr_sd,dsr,p_vs_coin,sr_star_ann,PASS
5,tsmom12,dev_oof,4.0,2006-06-13,3157.0,0.010910637553413307,0.18069598269938977,0.060381184962836225,0.21253332237144484,-0.01210958786229486,-0.24866138123127504,0.29941975651620967,0.5845755902057109,0.6436490338929364,6.4975609756097565,-0.2670257480628531,-5.57368706092446,35.0,,,,,
5,tsmom12,holdout,1.0,2019-01-02,1824.0,0.11661111095485667,0.17668487212737316,0.6599948798717247,1.9722213879479917,-0.02942749209857081,-0.7841817342875329,0.7508147742117073,0.9596685269675441,0.7845394736842105,5.111842105263158,-0.3342129524532615,-10.157170390310517,15.0,,,,,
5,tsmom12,holdout,2.0,2019-01-02,1824.0,0.11609992674433033,0.1766872616959638,0.6570927956544504,1.9630159504815334,-0.029943151872919786,-0.79771754876852,0.7508377840143946,0.9590111986787254,0.7845394736842105,5.111842105263158,-0.3342129524532615,-10.157170390310517,15.0,,0.5046248700926899,0.024,0.6527130876870972,False
5,tsmom12,holdout,4.0,2019-01-02,1824.0,0.1150775583232777,0.17669236390869142,0.6512876718472445,1.9446043283092753,-0.03097447142161785,-0.8247503279720776,0.7508838036197697,0.9576698295769146,0.7845394736842105,5.111842105263158,-0.3342129524532615,-10.157170390310517,15.0,,,,,
5,tsmom1,dev_oof,1.0,2006-06-13,3157.0,-0.03473285039742797,0.1659714972635792,-0.20926997086896648,-0.7755203789271385,-0.03639792648593981,-0.8207046920148537,0.02165733254127807,0.22879732880692916,0.528032942667089,23.06873614190687,-0.2634461742803478,-9.178434952310546,111.0,,,,,
5,tsmom1,dev_oof,2.0,2006-06-13,3157.0,-0.037039724011618654,0.16597115543562074,-0.2231696460412132,-0.8262844654772108,-0.038706692957137655,-0.8720039757986131,0.021681952577527263,0.21409522118108198,0.528032942667089,23.06873614190687,-0.2634461742803478,-9.178434952310546,111.0,,0.016323606975660803,0.616,0.37860163361957094,
5,tsmom1,dev_oof,4.0,2006-06-13,3157.0,-0.04165347124000005,0.1659717543416606,-0.25096722876263894,-0.9275182891983652,-0.0433242258995333,-0.9743128820005176,0.02173119265002569,0.1863872420963349,0.528032942667089,23.06873614190687,-0.2634461742803478,-9.178434952310546,111.0,,,,,
5,tsmom1,holdout,1.0,2019-01-02,1824.0,0.020061214370987988,0.15944323565936602,0.1258204168275078,0.34053091338589625,-0.05926873043785034,-1.2075625838175312,0.4078517142353432,0.6319566778939982,0.6222587719298246,23.569736842105268,-0.2502527635476744,-7.616372741850123,59.0,,,,,
5,tsmom1,holdout,2.0,2019-01-02,1824.0,0.01770424068677747,0.15944754234675318,0.1110348922674253,0.30016838822972297,-0.06163160126287987,-1.2545035597940375,0.4078820326604717,0.6169881140091231,0.6222587719298246,23.569736842105268,-0.2502527635476744,-7.616372741850123,59.0,,0.07328848328441796,0.246,0.6527130876870972,False
5,tsmom1,holdout,4.0,2019-01-02,1824.0,0.012990293318356402,0.15945750783723428,0.08146554837428038,0.2197225560758606,-0.06635734291293906,-1.3480659226328924,0.4079426695107289,0.5864976497771042,0.6222587719298246,23.569736842105268,-0.2502527635476744,-7.616372741850123,59.0,,,,,
5,realrate,dev_oof,1.0,2006-06-13,3157.0,0.04451138052360079,0.16201199592311186,0.2747412638797756,0.9837314204792199,0.03930659095571118,0.8562291874602845,0.06769772219833303,0.8340712896356146,0.5261324041811847,25.782705099778273,-0.07627214347901809,-2.6131962298302933,117.0,,,,,
5,realrate,dev_oof,2.0,2006-06-13,3157.0,0.04193311001362296,0.16201480913756777,0.25882269797952423,0.9264370002721747,0.03672652700267472,0.7997750116513974,0.06772104917598985,0.8197173454604193,0.5261324041811847,25.782705099778273,-0.07627214347901809,-2.6131962298302933,117.0,,0.33610465194485595,0.092,0.37860163361957094,
5,realrate,dev_oof,4.0,2006-06-13,3157.0,0.036776568993667304,0.16202178072804754,0.22698534004756143,0.8119424520709844,0.03156639909660189,0.6869553046802472,0.06776770313130358,0.7887371891775854,0.5261324041811847,25.782705099778273,-0.07627214347901809,-2.6131962298302933,117.0,,,,,
5,realrate,holdout,1.0,2019-01-02,1824.0,0.033789204159947794,0.15213125924630583,0.222105597017651,0.6266866811700703,0.028874399012798455,0.532222090800132,0.025268033517832644,0.7246301627488698,0.5158991228070176,22.298684210526314,-0.09171720511075981,-1.8784554474091537,64.0,,,,,
